ano,unidade,mes,mes_num,secao,indicador,valor,data
2021,unidade_1,JAN,1,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2021-01-01
2021,unidade_1,FEV,2,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2021-02-01
2021,unidade_1,MAR,3,Desdobramentos Técnicos,Apadrinhamento Afetivo,12.0,2021-03-01
2021,unidade_1,ABR,4,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2021-04-01
2021,unidade_1,MAI,5,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2021-05-01
2021,unidade_1,JUN,6,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2021-06-01
2021,unidade_1,JUL,7,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2021-07-01
2021,unidade_1,AGO,8,Desdobramentos Técnicos,Apadrinhamento Afetivo,,2021-08-01
2021,unidade_1,SET,9,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2021-09-01
2021,unidade_1,OUT,10,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2021-10-01
2021,unidade_1,NOV,11,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2021-11-01
2021,unidade_1,DEZ,12,Desdobramentos Técnicos,Apadrinhamento Afetivo,12.0,2021-12-01
2022,unidade_1,JAN,1,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2022-01-01
2022,unidade_1,FEV,2,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2022-02-01
2022,unidade_1,MAR,3,Desdobramentos Técnicos,Apadrinhamento Afetivo,12.0,2022-03-01
2022,unidade_1,ABR,4,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2022-04-01
2022,unidade_1,MAI,5,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2022-05-01
2022,unidade_1,JUN,6,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2022-06-01
2022,unidade_1,JUL,7,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2022-07-01
2022,unidade_1,AGO,8,Desdobramentos Técnicos,Apadrinhamento Afetivo,,2022-08-01
2022,unidade_1,SET,9,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2022-09-01
2022,unidade_1,OUT,10,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2022-10-01
2022,unidade_1,NOV,11,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2022-11-01
2022,unidade_1,DEZ,12,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2022-12-01
2023,unidade_1,JAN,1,Desdobramentos Técnicos,Apadrinhamento Afetivo,2.0,2023-01-01
2023,unidade_1,FEV,2,Desdobramentos Técnicos,Apadrinhamento Afetivo,3.0,2023-02-01
2023,unidade_1,MAR,3,Desdobramentos Técnicos,Apadrinhamento Afetivo,4.0,2023-03-01
2023,unidade_1,ABR,4,Desdobramentos Técnicos,Apadrinhamento Afetivo,3.0,2023-04-01
2023,unidade_1,MAI,5,Desdobramentos Técnicos,Apadrinhamento Afetivo,2.0,2023-05-01
2023,unidade_1,JUN,6,Desdobramentos Técnicos,Apadrinhamento Afetivo,1.0,2023-06-01
2023,unidade_1,JUL,7,Desdobramentos Técnicos,Apadrinhamento Afetivo,2.0,2023-07-01
2023,unidade_1,AGO,8,Desdobramentos Técnicos,Apadrinhamento Afetivo,1.0,2023-08-01
2023,unidade_1,SET,9,Desdobramentos Técnicos,Apadrinhamento Afetivo,2.0,2023-09-01
2023,unidade_1,OUT,10,Desdobramentos Técnicos,Apadrinhamento Afetivo,2.0,2023-10-01
2023,unidade_1,NOV,11,Desdobramentos Técnicos,Apadrinhamento Afetivo,0.0,2023-11-01
2023,unidade_1,DEZ,12,Desdobramentos Técnicos,Apadrinhamento Afetivo,2.0,2023-12-01
2021,unidade_1,JAN,1,Desdobramentos Técnicos,Atendimento Familiar,31.0,2021-01-01
2021,unidade_1,FEV,2,Desdobramentos Técnicos,Atendimento Familiar,6.0,2021-02-01
