ano,unidade,mes,mes_num,secao,indicador,valor,data
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,1.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,6.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,6.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,6.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,5.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,5.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,4.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,4.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,4.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,2.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,2.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,Adolescentes Inseridos Em Cursos Profissionalizantes,,2025-12-01
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-01-01
2025,gerencial,FEV,2,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-02-01
2025,gerencial,MAR,3,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-03-01
2025,gerencial,ABR,4,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-04-01
2025,gerencial,MAI,5,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-05-01
2025,gerencial,JUN,6,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-06-01
2025,gerencial,JUL,7,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-07-01
2025,gerencial,AGO,8,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-08-01
2025,gerencial,SET,9,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-09-01
2025,gerencial,OUT,10,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-10-01
2025,gerencial,NOV,11,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,0.0,2025-11-01
2025,gerencial,DEZ,12,Dados Gerenciais de Efetividade,Adolescentes Inseridos No Mercado De Trabalho,,2025-12-01
2025,gerencial,JAN,1,Dados Gerenciais de Efetividade,Apadrinhamentos Afetivos Efetivados,3.0,2025-01-01
